OLD WEATHER – USS JEANNETTE   ,,,,,,,,
,,,,,,,,
Ship date, Ship time of log entry,Ship time of Lt Chipp's notebook entry,Location,Lat decimal,Lon decimal,Log Comment,Log book page url,Lt Chipp's notebook
1879-06-25,,,"Navy Yard Mare Island, Cal. ",38.1,-122.3,,,
1879-06-26,,,,38.1,-122.3,,,
1879-06-27,,,At anchor San Francisco Cal.,37.9,-122.4,,,
1879-06-28,,,,37.8,-122.4,,,
1879-06-29,,,,37.8,-122.4,,,
1879-06-30,,,,37.8,-122.4,,,
1879-07-01,,,,37.8,-122.4,,,
1879-07-02,,,,37.8,-122.4,,,
1879-07-03,,,,37.8,-122.4,,,
1879-07-04,,,,37.8,-122.4,,,
1879-07-05,,,,37.8,-122.4,,,
1879-07-06,,,,37.8,-122.4,,,
1879-07-07,,,,37.8,-122.4,,,
1879-07-08,,,,37.8,-122.4,,,
1879-07-09,,,"On passage from San Francisco, Cal to Ounalashka (Unalaska)",38.1,-123.2,,,
1879-07-10,,,,37.3,-125.7,,,
1879-07-11,,,,36.6,-127.5,,,
1879-07-12,,,At Sea,36.8,-129.2,,,
1879-07-13,,,,37.6,-131.2,,,
1879-07-14,,,,39.1,-132.9,,,
1879-07-15,,,,39.5,-133.9,,,
1879-07-16,,,,40.1,-134.7,,,
1879-07-17,,,,41.4,-135.6,,,
1879-07-18,,,,42.8,-137.3,,,
1879-07-19,,,,43.8,-138.9,,,
1879-07-20,,,,44.5,-140.3,,,
1879-07-21,,,,45.3,-142.5,,,
1879-07-22,,,,46.2,-144.7,,,
1879-07-23,,,,47.1,-146.9,,,
1879-07-24,,,,48.0,-149.2,,,
1879-07-25,,,,48.4,-151.7,,,
1879-07-26,,,,49.4,-153.7,,,
1879-07-27,,,,50.5,-155.5,,,
1879-07-28,,,,51.4,-156.6,,,
1879-07-29,,,,52.4,-157.5,,,
1879-07-30,,,,52.9,-159.3,,,
1879-07-31,,,,53.4,-162.1,,,
1879-08-01,,,,53.7,-164.7,,,
1879-08-02,,,At anchor near Ounalashka Island.,53.9,-165.8,,,
1879-08-03,,,"At Buoy, Port Illiouliouk, Ounalashka ",54.0,-166.2,,,
1879-08-04,,,"Port Illiouliouk, Ounalashka ",53.9,-166.5,,,
1879-08-05,,,,53.9,-166.5,,,
1879-08-06,,,"Making passage from Port Illiouliouk to Saint Michaels, Alaska",54.1,-166.5,,,
1879-08-07,,,,55.1,-166.8,,,
1879-08-08,,,,57.4,-167.6,,,
1879-08-09,,,,59.9,-168.2,,,
1879-08-10,,,,61.5,-168.5,,,
1879-08-11,,,,62.8,-167.5,,,
1879-08-12,,,"At anchor, Saint Michaels, Alaska",63.5,-164.1,,,
1879-08-13,,,,63.5,-162.0,,,
1879-08-14,,,,63.5,-162.0,,,
1879-08-15,,,,63.5,-162.0,,,
1879-08-16,,,,63.5,-162.0,,,
1879-08-17,,,,63.5,-162.0,,,
1879-08-18,,,,63.5,-162.0,,,
1879-08-19,,,,63.5,-162.0,,,
1879-08-20,,,,63.5,-162.0,,,
1879-08-21,,,,63.5,-162.0,,,
1879-08-22,,,"Making passage from Saint Michaels, Alaska to St Lawrence Bay, Siberia",63.7,-163.0,,,
1879-08-23,,,,64.2,-165.5,,,
1879-08-24,,,,64.3,-168.2,,,
1879-08-25,,,,64.9,-170.2,,,
1879-08-26,,,"At Anchor, Saint Lawrence Bay, Siberia (Lutkis Harbor)",65.6,-171.0,,,
1879-08-27,,,,65.7,-171.1,,,
1879-08-28,,,"Making passage from Saint Lawrence Bay to Cape Serdze Kamen, Siberia",65.8,-170.3,,,
1879-08-29,,,,66.5,-170.3,,,
1879-08-30,,,At anchor Cape Serdze-Kamen ,66.9,-171.0,,,
1879-08-31,,,Making passage from Cape Serdze-Kamen to Koliutchin Bay,67.0,-172.4,,,
1879-09-01,,,Making passage from Koliutchin Bay in search of Wrangel Land,67.7,-173.5,,,
1879-09-02,02:30,,,68.7,-174.8,At 2.30 there was a moderate display of the aurora borealis which lasted about 10 minutes and was under the Constellation Cassiopeia. ,"http://oldweather.s3.amazonaws.com/ow3/final/USS%20Jeannette/vol001of004/vol001_097_1.jpg
",
1879-09-03,,,,69.8,-175.4,,,
1879-09-04,,,,70.8,-174.4,,,
1879-09-05,,,,71.2,-174.2,,,
1879-09-06,,,anchored to a floe nr Herald Island,71.3,-174.6,,,
1879-09-07,,,,71.3,-175.0,,,
1879-09-08,,,,71.5,-175.0,,,
1879-09-09,,,,71.6,-174.9,,,
1879-09-10,,,Beset in pack off Herald Island,71.6,-175.1,,,
